chunk_id,file_id,chat_id,chunk_type,summary,keywords,content_preview,created_at
e190860647aea2e7,Q2_2024_Revenue_Report.pdf,99805e22-f559-4031-a310-47ecd565e81b,text_content,Background DOD requires each Military Service to establish its own EFMP for active duty servicemembers,"ED, education, EFMP, DOD, VA","{""text"": ""Background DOD requires each Military Service to establish its own EFMP for active duty servicemembers. According to DOD guidance, EFMPs are to have three components\u2014identification and enrollment, assignment coordination, and family support. Identification and enrollment: DOD requires",2024-02-13T08:14:14+00:00
1c25bff46f650a95,Website_Traffic_Analytics_May.csv,97278c45-3698-4fa0-91f0-a52705021ae7,text_content,Background DOD has long recognized that the contracts for items like weapon systems are capital intensive in nature and ...,"VA, DOD, ED, weapon systems","{""text"": ""Background DOD has long recognized that the contracts for items like weapon systems are capital intensive in nature and take a long time to produce. Contract financing assists the defense contractor in managing expenses, such as material, labor, and overhead. In such cases, DOD can agree t",2024-01-06T18:51:54+00:00
4748eec8ae26f04d,Website_Traffic_Analytics_May.csv,,time_series,"Monthly personnel data for FY2024 across 12 observations. Average monthly value: 26,664.23.","monthly, time_series, fiscal year, budget, trend, 2024","{""data"": [{""Fiscal_Year"": ""2024-01"", ""Personnel"": 21556.47, ""Agency"": ""FWS""}, {""Fiscal_Year"": ""2024-02"", ""Personnel"": 29874.02, ""Agency"": ""DOD""}, {""Fiscal_Year"": ""2024-03"", ""Personnel"": 38181.56, ""Agency"": ""EEOC""}, {""Fiscal_Year"": ""2024-04"", ""Personnel"": 35208.83, ""Agency"": ""TIFIA""}, {""Fiscal_Year"":",2024-02-08T14:39:02+00:00
f4bb7ae64f277cd7,Server_Infrastructure_Audit.docx,97278c45-3698-4fa0-91f0-a52705021ae7,categorical_data,Categorical overview of 10 federal agencies and their program portfolios. 2 agencies marked as fully active.,"categorical, agency, oversight, federal, programs, status","{""data"": [{""Agency"": ""CMS"", ""Program_Count"": 23, ""Region"": ""Global"", ""Status"": ""Under Review"", ""Oversight_Body"": ""Congress""}, {""Agency"": ""GAO"", ""Program_Count"": 14, ""Region"": ""Domestic"", ""Status"": ""Reforming"", ""Oversight_Body"": ""GAO""}, {""Agency"": ""FHA"", ""Program_Count"": 22, ""Region"": ""Mixed"", ""Statu",2024-01-09T21:33:25+00:00
6ef4e97bdb969428,Website_Traffic_Analytics_May.csv,1d0194cd-941e-4663-857b-fab7c81aa327,time_series,"Monthly contract awards data for FY2023 across 12 observations. Average monthly value: 26,812.85.","monthly, time_series, fiscal year, budget, trend, 2023","{""data"": [{""Fiscal_Year"": ""2023-01"", ""Contract_Awards"": 18737.83, ""Agency"": ""TSA""}, {""Fiscal_Year"": ""2023-02"", ""Contract_Awards"": 25966.79, ""Agency"": ""DHS""}, {""Fiscal_Year"": ""2023-03"", ""Contract_Awards"": 38033.33, ""Agency"": ""CBP""}, {""Fiscal_Year"": ""2023-04"", ""Contract_Awards"": 8489.22, ""Agency"": ""EE",2024-03-24T04:38:46+00:00
06fc139f4e3a0a35,Employee_Satisfaction_Survey_2024.pdf,003364dd-3e72-44fa-9799-72d067e7ca81,text_content,Background Executive Branch Ethics Program The Ethics in Government Act of 1978 was enacted to preserve and promote the ...,"ED, oversight, government, policy, ethics","{""text"": ""Background Executive Branch Ethics Program The Ethics in Government Act of 1978 was enacted to preserve and promote the accountability and integrity of public officials, and the institutions of the federal government. The act requires political appointees and high-ranking government offici",2024-04-07T04:54:01+00:00
7c375634fbb224f7,Website_Traffic_Analytics_May.csv,,time_series,"Monthly personnel data for FY2020 across 12 observations. Average monthly value: 28,662.30.","monthly, time_series, fiscal year, budget, trend, 2020","{""data"": [{""Fiscal_Year"": ""2020-01"", ""Personnel"": 47721.49, ""Agency"": ""DOD""}, {""Fiscal_Year"": ""2020-02"", ""Personnel"": 30348.28, ""Agency"": ""NPS""}, {""Fiscal_Year"": ""2020-03"", ""Personnel"": 1954.36, ""Agency"": ""SIGAR""}, {""Fiscal_Year"": ""2020-04"", ""Personnel"": 44057.37, ""Agency"": ""ACF""}, {""Fiscal_Year"": """,2024-03-13T14:33:53+00:00
85df3483ef3012ef,Marketing_Campaign_Performance.csv,003364dd-3e72-44fa-9799-72d067e7ca81,statistics,"Statistical summary of corpus document characteristics. Mean document length: 50,282 chars, mean words: 7,517.","statistics, corpus, document analysis, descriptive, federal reports","{""statistics"": {""Document_Length"": {""count"": 50, ""mean"": 50282.22, ""std"": 24631.36, ""min"": 12215, ""25%"": 34483, ""50%"": 50115, ""75%"": 63049, ""max"": 138519}, ""Word_Count"": {""count"": 50, ""mean"": 7517.28, ""std"": 3716.4, ""min"": 1856, ""25%"": 5161, ""50%"": 7725, ""75%"": 9344, ""max"": 21033}}, ""columns"": [""Doc",2024-03-26T01:41:39+00:00
92c3bfa6ae6fd6ea,Employee_Satisfaction_Survey_2024.pdf,97278c45-3698-4fa0-91f0-a52705021ae7,text_content,"""The Afghanistan Papers"" On December 9, 2019, the Washington Post published a series of documents termed ""the Afghanista...","ED, SIGAR, oversight, budget, government","{""text"": ""\""The Afghanistan Papers\"" On December 9, 2019, the Washington Post published a series of documents termed \""the Afghanistan Papers\"" (herineafter \""the Papers\""). The Papers comprise two sets of documents: Notes and transcripts of interviews with more than 400 U.S. and other policymakers ",2024-03-06T15:35:34+00:00
1b3ca9edf0ef2be3,Q1_2024_Revenue_Report.pdf,97278c45-3698-4fa0-91f0-a52705021ae7,text_content,Background DOD began the F-35 development program in October 2001 with plans to produce next-generation aircraft to repl...,"F-35, VA, DOD, ED","{""text"": ""Background DOD began the F-35 development program in October 2001 with plans to produce next-generation aircraft to replace aging aircraft in the military services\u2019 inventories. Figure 1 shows the F-35 in flight. The program has developed and is delivering three variants of the F-35 a",2024-02-14T10:56:45+00:00
